iter	Passed	Remaining
0	4	3239
1	7	3058
2	11	2970
3	14	2947
4	18	2916
5	22	2978
6	26	3027
7	30	3004
8	35	3079
9	39	3104
10	43	3144
11	48	3174
12	52	3152
13	56	3152
14	60	3184
15	64	3181
16	69	3193
17	73	3181
18	76	3158
19	80	3155
20	84	3136
21	88	3136
22	93	3160
23	98	3183
24	103	3209
25	107	3212
26	113	3238
27	117	3237
28	121	3229
29	126	3237
30	130	3235
31	134	3227
32	138	3214
33	143	3225
34	147	3234
35	152	3246
36	158	3260
37	162	3261
38	166	3242
39	169	3221
40	173	3213
41	177	3200
42	181	3201
43	185	3182
44	189	3172
45	192	3157
46	196	3146
47	200	3136
48	204	3127
49	208	3128
50	212	3122
51	216	3119
52	220	3111
53	224	3104
54	228	3097
55	232	3091
56	236	3085
57	240	3073
58	244	3068
59	248	3061
60	251	3052
61	256	3056
62	260	3051
63	264	3041
64	268	3033
65	272	3028
66	276	3023
67	280	3021
68	285	3019
69	288	3010
70	293	3009
71	296	3002
72	300	2993
73	304	2983
74	308	2979
75	312	2974
76	315	2962
77	318	2951
78	322	2944
79	326	2934
80	329	2924
81	329	2924
82	338	2956
83	371	3207
84	371	3207
85	376	3201
86	425	3570
87	587	4866
88	592	4841
89	596	4815
90	714	5693
91	724	5701
92	834	6487
93	839	6441
94	844	6399
95	954	7145
96	1340	9922
97	1797	13144
98	2296	16598
99	2301	16438
100	2306	16281
101	2310	16127
102	2321	16021
103	2327	15882
104	2374	16022
105	2379	15879
106	2592	17108
107	2596	16951
108	2600	16796
109	4816	30774
110	4821	30477
111	5634	35241
112	5639	34901
113	5835	35740
114	5839	35397
115	5843	35062
116	5856	34782
117	5957	35025
118	6582	38313
119	6586	37958
120	6875	39230
121	6961	39331
122	6972	39014
123	6978	38665
124	7826	42952
125	8686	47217
126	8690	46791
127	9045	48244
128	9050	47815
129	9054	47393
130	9155	47482
131	9160	47068
132	10017	51003
133	10021	50563
134	10233	51168
135	10787	53453
136	11097	54501
137	11101	54040
138	13290	64124
139	13390	64041
140	13394	63505
141	13399	62977
142	13499	62901
143	13657	63092
144	13661	62576
145	15333	69640
146	15434	69507
147	15438	68945
148	15443	68391
149	17069	74967
150	17195	74897
151	17939	77497
152	19773	84725
153	19778	84058
154	19818	83550
155	19823	82899
156	19897	82543
157	19902	81905
158	20036	81806
159	20041	81179
160	20140	80942
161	20574	82039
162	20578	81420
163	20676	81174
164	20716	80704
165	20720	80103
166	23121	88704
167	23224	88420
168	23625	89267
169	23847	89429
170	23852	88776
171	23858	88136
172	23863	87499
173	23869	86872
174	23872	86246
175	23877	85628
176	23881	85018
177	23885	84413
178	23889	83816
179	23893	83224
180	23898	82641
181	23901	82062
182	23905	81491
183	23909	80925
184	23913	80365
185	23917	79810
186	23920	79261
187	23923	78717
188	23927	78180
189	23931	77648
190	23934	77121
191	23938	76601
192	23942	76088
193	23945	75579
194	23949	75075
195	23953	74576
196	23957	74082
197	23961	73596
198	23965	73111
199	23968	72633
200	23972	72158
201	23976	71688
202	23980	71224
203	23984	70765
204	23988	70310
205	23991	69859
206	23995	69412
207	23999	68970
208	24004	68533
209	24007	68099
210	24012	67671
211	24016	67245
212	24020	66824
213	24024	66407
214	24029	65996
215	24033	65586
216	24037	65180
217	24041	64778
218	24047	64384
219	24052	63993
220	24058	63606
221	24062	63217
222	24066	62834
223	24071	62456
224	24076	62080
225	24080	61707
226	24085	61336
227	24089	60969
228	24093	60603
229	24098	60245
230	24103	59890
231	24111	59545
232	24116	59194
233	24120	58846
234	24124	58499
235	24128	58155
236	24133	57816
237	24136	57478
238	24142	57148
239	24149	56821
240	24154	56495
241	24160	56172
242	24166	55854
243	24173	55538
244	24179	55223
245	24184	54911
246	24189	54599
247	24194	54290
248	24199	53984
249	24204	53680
250	24211	53382
251	24215	53081
252	24221	52785
253	24226	52490
254	24238	52212
255	24249	51936
256	24253	51646
257	24259	51361
