age,balance,campaign,contact,day,default,deposit,duration,education,housing,job,loan,marital,month,pdays,poutcome,previous
59,2343,1,unknown,5,no,yes,1042,secondary,yes,admin.,no,married,may,-1,unknown,0
56,45,1,unknown,5,no,yes,1467,secondary,no,admin.,no,married,may,-1,unknown,0
41,1270,1,unknown,5,no,yes,1389,secondary,yes,technician,no,married,may,-1,unknown,0
55,2476,1,unknown,5,no,yes,579,secondary,yes,services,no,married,may,-1,unknown,0
54,184,2,unknown,5,no,yes,673,tertiary,no,admin.,no,married,may,-1,unknown,0
42,0,2,unknown,5,no,yes,562,tertiary,yes,management,yes,single,may,-1,unknown,0
56,830,1,unknown,6,no,yes,1201,tertiary,yes,management,yes,married,may,-1,unknown,0
60,545,1,unknown,6,no,yes,1030,secondary,yes,retired,no,divorced,may,-1,unknown,0
37,1,1,unknown,6,no,yes,608,secondary,yes,technician,no,married,may,-1,unknown,0
28,5090,3,unknown,6,no,yes,1297,secondary,yes,services,no,single,may,-1,unknown,0
38,100,1,unknown,7,no,yes,786,secondary,yes,admin.,no,single,may,-1,unknown,0
30,309,2,unknown,7,no,yes,1574,secondary,yes,blue-collar,no,married,may,-1,unknown,0
29,199,4,unknown,7,no,yes,1689,tertiary,yes,management,yes,married,may,-1,unknown,0
46,460,2,unknown,7,no,yes,1102,tertiary,yes,blue-collar,no,single,may,-1,unknown,0
31,703,2,unknown,8,no,yes,943,tertiary,yes,technician,no,single,may,-1,unknown,0
35,3837,1,unknown,8,no,yes,1084,tertiary,yes,management,no,divorced,may,-1,unknown,0
32,611,3,unknown,8,no,yes,541,primary,yes,blue-collar,no,single,may,-1,unknown,0
49,-8,1,unknown,8,no,yes,1119,secondary,yes,services,no,married,may,-1,unknown,0
41,55,2,unknown,8,no,yes,1120,secondary,yes,admin.,no,married,may,-1,unknown,0
49,168,1,unknown,8,no,yes,513,secondary,yes,admin.,yes,divorced,may,-1,unknown,0
28,785,2,unknown,8,no,yes,442,secondary,yes,admin.,no,divorced,may,-1,unknown,0
43,2067,1,unknown,8,no,yes,756,tertiary,yes,management,no,single,may,-1,unknown,0
43,388,2,unknown,8,no,yes,2087,tertiary,yes,management,no,divorced,may,-1,unknown,0
43,-192,2,unknown,8,no,yes,1120,primary,yes,blue-collar,no,married,may,-1,unknown,0
37,381,2,unknown,8,no,yes,985,secondary,yes,unemployed,no,single,may,-1,unknown,0
35,40,4,unknown,9,no,yes,617,secondary,yes,blue-collar,no,single,may,-1,unknown,0
31,22,3,unknown,9,no,yes,483,tertiary,yes,technician,no,single,may,-1,unknown,0
43,3,3,unknown,9,no,yes,929,secondary,yes,blue-collar,no,single,may,-1,unknown,0
